original_user_id,block,condition
1092822165936848768,0_0_0,2
1092925985354403840,0_0_0,2
1093139820162019200,0_0_0,2
1093209764551712768,0_0_0,2
1093337740115173248,0_0_0,2
1093455817,0_0_0,2
1093569487,0_0_0,2
1093708926,0_0_0,2
1093747804839833600,0_0_0,2
109391936,0_0_0,2
1093968693355335552,0_0_0,2
1094022705039507456,0_0_0,2
1094276728674045952,0_0_0,2
1094649759158161408,0_0_0,2
1094730539561570432,0_0_0,2
109491799,0_0_0,2
1095057570027450368,0_0_0,2
1095158834220486656,0_0_0,2
1095603835278520448,0_0_0,2
1095722782934138752,0_0_0,2
1095871002,0_0_0,2
1095939043056005248,0_0_0,2
1096527454380920832,0_0_0,2
1096662538773848064,0_0_0,2
1096958473625976832,0_0_0,2
109702480,0_0_0,2
1097162161326047232,0_0_0,2
1097227343729442816,0_0_0,2
1097467123415146368,0_0_0,2
1097673590982492032,0_0_0,2
1098097114205294336,0_0_0,2
1098300677707759616,0_0_0,2
1098357077251161984,0_0_0,2
1098393898303418368,0_0_0,2
1098676107736420352,0_0_0,2
1098698814729404416,0_0_0,2
1098792862332999936,0_0_0,2
1098949138941726848,0_0_0,2
1099044049980412032,0_0_0,2
109931050,0_0_0,2
1099469067537313536,0_0_0,2
10996862,0_0_0,2
1099895719077470208,0_0_0,2
1100102599137734656,0_0_0,2
1100208731445514240,0_0_0,2
110043885,0_0_0,2
1100488037304320000,0_0_0,2
1100914981954940800,0_0_0,2
1101235919099707136,0_0_0,2
1101317003690823552,0_0_0,2
1101527346224353152,0_0_0,2
110158443,0_0_0,2
1101704926063931136,0_0_0,2
1101945224715227136,0_0_0,2
1102064422925688832,0_0_0,2
1102148946456014848,0_0_0,2
1102323461404483584,0_0_0,2
1102635715156951040,0_0_0,2
1102681286395813760,0_0_0,2
1102925443836063616,0_0_0,2
1103095443872014336,0_0_0,2
1103312542250778624,0_0_0,2
1103447431671250816,0_0_0,2
1103680574269677568,0_0_0,2
1103865762043719552,0_0_0,2
1104042906757853184,0_0_0,2
1104202759023124352,0_0_0,2
1104543469253639936,0_0_0,2
1104792750,0_0_0,2
110502155,0_0_0,2
1105140643863638016,0_0_0,2
110528561,0_0_0,2
1105361414338818048,0_0_0,2
1105524461166620544,0_0_0,2
110558902,0_0_0,2
1105683295247822848,0_0_0,2
1105882112706649984,0_0_0,2
1106052505107160960,0_0_0,2
1106270460,0_0_0,2
1106446778,0_0_0,2
1106603573570211840,0_0_0,2
